คำ	ว	มว	พญ	สร	วณ
กำบัง	5	5	3	2	0
กำบัด	5	5	3	2	0
กำบิด	5	5	3	2	0
กำผลา	5	5	3	2	0
กำพวด	5	5	4	1	0
กำพอง	5	5	4	1	0
กำพืด	5	5	3	2	0
กำพุด	5	5	3	2	0
กำมือ	5	5	3	2	0
กำยาน	5	5	3	2	0
กำราก	5	5	3	2	0
กำราบ	5	5	3	2	0
กำราล	5	5	3	2	0
กำลอง	5	5	4	1	0
กำลัง	5	5	3	2	0
กำลุง	5	5	3	2	0
กำลูน	5	5	3	2	0
กำสรด	5	5	4	1	0
กำหนด	5	5	4	1	0
กำเดา	5	5	2	3	0
กำเลา	5	5	2	3	0
กำแพง	5	5	3	2	0
กำแสง	5	5	3	2	0
กำแหง	5	5	3	2	0
กำโชก	5	5	3	2	0
กำโบล	5	5	3	2	0
กิจจะ	5	5	3	2	0
กิจจา	5	5	3	2	0
กิตติ	5	5	3	2	0
กินตา	5	5	3	2	0
กินนร	5	5	4	1	0
กินรี	5	5	3	2	0
กินลม	5	5	4	1	0
กินูน	5	5	3	2	0
กินเจ	5	5	3	2	0
กินแจ	5	5	3	2	0
กินใจ	5	5	3	2	0
กินใน	5	5	3	2	0
กิเลน	5	5	3	2	0
กิเลส	5	5	3	2	0
กิโล-	5	5	2	2	0
กีรติ	5	5	3	2	0
กุงอน	5	5	4	1	0
กุงาน	5	5	3	2	0
กุญชร	5	5	4	1	0
กุญแจ	5	5	3	2	0
กุฏไต	5	5	3	2	0
กุณฑล	5	5	4	1	0
กุณฑี	5	5	3	2	0
กุณฑ์	5	5	3	1	0
กุณาล	5	5	3	2	0
กุณโฑ	5	5	3	2	0
กุดัง	5	5	3	2	0
กุนที	5	5	3	2	0
กุมภ-	5	5	3	1	0
กุมภา	5	5	3	2	0
กุมภ์	5	5	3	1	0
กุมาร	5	5	3	2	0
กุมุท	5	5	3	2	0
กุรระ	5	5	3	2	0
กุรุง	5	5	3	2	0
กุรุส	5	5	3	2	0
กุสุม	5	5	3	2	0
กุหนี	5	5	3	2	0
กุเรา	5	5	2	3	0
กุเลา	5	5	2	3	0
กุเวร	5	5	3	2	0
กุโงก	5	5	3	2	0
กูณฑ์	5	5	3	1	0
กูปรี	5	5	3	2	0
กูรม-	5	5	3	1	0
กูรมะ	5	5	3	2	0
กเรณุ	5	5	3	2	0
เกณฑ์	5	5	3	1	0
เกตุ-	5	5	2	2	0
เกทับ	5	5	3	2	0
เกน ๆ	5	4	2	2	0
เกยลา	5	5	3	2	0
เกยูร	5	5	3	2	0
เกร็ด	5	5	3	2	0
เกร่อ	5	5	3	1	1
เกรอะ	5	5	3	2	0
เกราะ	5	5	2	3	0
เกริก	5	5	3	2	0
เกริน	5	5	3	2	0
เกล็ด	5	5	3	2	0
เกลาะ	5	5	2	3	0
เกลือ	5	5	3	2	0
เกวัฏ	5	5	3	2	0
เกศวะ	5	5	3	2	0
เกษตร	5	5	4	1	0
เกสรี	5	5	3	2	0
เกะกะ	5	5	2	3	0
เกาต์	5	5	2	2	0
เกียง	5	5	3	2	0
เกียจ	5	5	3	2	0
เกียด	5	5	3	2	0
เกียน	5	5	3	2	0
เกื้อ	5	5	2	2	1
เกือก	5	5	3	2	0
เกือบ	5	5	3	2	0
แกงขม	5	5	4	1	0
แกงได	5	5	3	2	0
แก้ตก	5	5	3	1	1
แก้ที	5	5	2	2	1
แกนนำ	5	5	3	2	0
แก้บน	5	5	3	1	1
แกมมา	5	5	3	2	0
แกร่ง	5	5	3	1	1
แกร็น	5	5	3	2	0
แกร็บ	5	5	3	2	0
แกร่ว	5	5	3	1	1
แกล้ง	5	5	3	1	1
แกล้ม	5	5	3	1	1
แกล้ว	5	5	3	1	1
แก้ลำ	5	5	2	2	1
แกว่ง	5	5	3	1	1
แกว่น	5	5	3	1	1
แกะดำ	5	5	2	3	0
แกะแร	5	5	2	3	0
แก้ไข	5	5	2	2	1
แก่ไฟ	5	5	2	2	1
โกญจ-	5	5	3	1	0
โกญจา	5	5	3	2	0
โกฐสอ	5	5	4	1	0
โกฐาส	5	5	3	2	0
โกดัง	5	5	3	2	0
โกตไต	5	5	3	2	0
โกมุท	5	5	3	2	0
โกรญจ	5	5	4	1	0
โกรธา	5	5	3	2	0
โกร๋น	5	5	3	1	1
โกวิท	5	5	3	2	0
โกสัช	5	5	3	2	0
โกสุม	5	5	3	2	0
โกหวา	5	5	3	2	0
โกเมน	5	5	3	2	0
โกเมศ	5	5	3	2	0
โกโก้	5	5	2	2	1
โกไสย	5	5	3	2	0
ไก่ชน	5	5	3	1	1
ไก่นา	5	5	2	2	1
ไกพัล	5	5	3	2	0
ไกรศร	5	5	4	1	0
ไกรสร	5	5	4	1	0
ไกลาส	5	5	3	2	0
ไกวัล	5	5	3	2	0
ขจรจบ	5	5	5	0	0
ขจ่าง	5	5	3	1	1
ขนพอง	5	5	5	0	0
ขนมกง	5	5	5	0	0
ขนมโค	5	5	4	1	0
ขนลุก	5	5	4	1	0
ขนส่ง	5	5	4	0	1
ขนหนู	5	5	4	1	0
ขนอุย	5	5	4	1	0
ขนแมว	5	5	4	1	0
ขบขัน	5	5	4	1	0
ขบคิด	5	5	4	1	0
ขบฉัน	5	5	4	1	0
ขมหิน	5	5	4	1	0
ขม่อม	5	5	4	0	1
ขมิ้น	5	5	3	1	1
ขย่อน	5	5	4	0	1
ขยิ่ม	5	5	3	1	1
ขรรคะ	5	5	4	1	0
ขรรคา	5	5	4	1	0
ขรรค์	5	5	4	0	0
ขลุ่ย	5	5	3	1	1
ขวยใจ	5	5	4	1	0
ขวั้น	5	5	3	1	1
ขษีระ	5	5	3	2	0
ขอขมา	5	5	4	1	0
ของชำ	5	5	4	1	0
ของดี	5	5	4	1	0
ของสด	5	5	5	0	0
ของ้อ	5	5	4	0	1
ขอฉาย	5	5	4	1	0
ขอตัว	5	5	4	1	0
ขอทอง	5	5	5	0	0
ขอทาน	5	5	4	1	0
ขอบใจ	5	5	4	1	0
ขอบไร	5	5	4	1	0
ขอยืม	5	5	4	1	0
ขอรับ	5	5	4	1	0
ข้อลำ	5	5	3	1	1
ขอษมา	5	5	4	1	0
ขอสับ	5	5	4	1	0
ข้อหา	5	5	3	1	1
ขอแกว	5	5	4	1	0
ขอแรง	5	5	4	1	0
ขอโทษ	5	5	4	1	0
ข้อไข	5	5	3	1	1
ขะข่ำ	5	5	2	2	1
ขะนาน	5	5	3	2	0
ขะยิก	5	5	3	2	0
ขะยุก	5	5	3	2	0
ขะแจะ	5	5	2	3	0
ขะแถก	5	5	3	2	0
ขะแยะ	5	5	2	3	0
ขัชกะ	5	5	3	2	0
ขัณฑ-	5	5	3	1	0
ขัดขา	5	5	3	2	0
ขัดคอ	5	5	4	1	0
ขัดตา	5	5	3	2	0
ขัดบท	5	5	4	1	0
ขัดลำ	5	5	3	2	0
ขัดสน	5	5	4	1	0
ขัดหู	5	5	3	2	0
ขัดใจ	5	5	3	2	0
ขันติ	5	5	3	2	0
ขันตี	5	5	3	2	0
ขันที	5	5	3	2	0
ขันธ์	5	5	3	1	0
ขับซอ	5	5	4	1	0
ขับนก	5	5	4	1	0
ขับพล	5	5	4	1	0
ขากอม	5	5	4	1	0
ขาดคำ	5	5	3	2	0
ขาดใจ	5	5	3	2	0
ขานาง	5	5	3	2	0
ขานไข	5	5	3	2	0
ขาพับ	5	5	3	2	0
ขาม้า	5	5	2	2	1
ขายหู	5	5	3	2	0
ขาลาก	5	5	3	2	0
ขาหมา	5	5	3	2	0
ขาไก่	5	5	2	2	1
ข้าไท	5	5	2	2	1
ขาไพ่	5	5	2	2	1
ขำขัน	5	5	3	2	0
ขิก ๆ	5	4	2	2	0
ขี้กบ	5	5	3	1	1
ขี้กา	5	5	2	2	1
ขี้ขม	5	5	3	1	1
ขี้ตด	5	5	3	1	1
ขี้ตา	5	5	2	2	1
ขี้ทา	5	5	2	2	1
ขี้นก	5	5	3	1	1
ขี้ผง	5	5	3	1	1
ขี้ยา	5	5	2	2	1
ขี้ลม	5	5	3	1	1
ขี้แย	5	5	2	2	1
ขี้ไถ	5	5	2	2	1
ขึงตา	5	5	3	2	0
ขืนใจ	5	5	3	2	0
ขุก ๆ	5	4	2	2	0
ขุนพล	5	5	4	1	0
เขน็ด	5	5	3	2	0
เขบ็ต	5	5	3	2	0
เขม็ง	5	5	3	2	0
เขม่น	5	5	3	1	1
เขย่ง	5	5	3	1	1
เขย่า	5	5	2	2	1
เขยิน	5	5	3	2	0
เขยิบ	5	5	3	2	0
เขรอะ	5	5	3	2	0
เขลอะ	5	5	3	2	0
เขลาะ	5	5	2	3	0
เขษตร	5	5	4	1	0
เขะขะ	5	5	2	3	0
เขามอ	5	5	3	2	0
เขี่ย	5	5	2	2	1
เขียง	5	5	3	2	0
เขียด	5	5	3	2	0
เขียน	5	5	3	2	0
เขียม	5	5	3	2	0
เขียว	5	5	3	2	0
เขียะ	5	5	2	3	0
เขือง	5	5	3	2	0
เขือม	5	5	3	2	0
แขม็บ	5	5	3	2	0
แขม่ว	5	5	3	1	1
แขสร์	5	5	3	1	0
ไข่กบ	5	5	3	1	1
ไขข้อ	5	5	3	1	1
ไขควง	5	5	4	1	0
ไขดาล	5	5	3	2	0
ไขน้ำ	5	5	2	2	1
ไขมัน	5	5	3	2	0
ไขย่น	5	5	3	1	1
ไข่ลม	5	5	3	1	1
ไขลาน	5	5	3	2	0
ไขสือ	5	5	3	2	0
ไข่หำ	5	5	2	2	1
ไขแสง	5	5	3	2	0
ไข้ใจ	5	5	2	2	1
คงขาด	5	5	4	1	0
คงตัว	5	5	4	1	0
คงที่	5	5	3	1	1
คชนาม	5	5	4	1	0
คชราช	5	5	4	1	0
คชสาร	5	5	4	1	0
คณบดี	5	5	4	1	0
คณิกา	5	5	3	2	0
คณิต-	5	5	3	1	0
คดีดำ	5	5	3	2	0
คดโกง	5	5	4	1	0
คนงาน	5	5	4	1	0
คนดัง	5	5	4	1	0
คนดิบ	5	5	4	1	0
คนทรง	5	5	5	0	0
คนนอก	5	5	5	0	0
ค้นพบ	5	5	4	0	1
คนรัก	5	5	4	1	0
คนสวน	5	5	5	0	0
คนสุก	5	5	4	1	0
ค้นหา	5	5	3	1	1
คนโสด	5	5	4	1	0
คนโอบ	5	5	4	1	0
คนใช้	5	5	3	1	1
คนไข้	5	5	3	1	1
คบค้า	5	5	3	1	1
คบคิด	5	5	4	1	0
คบชู้	5	5	3	1	1
คมคาย	5	5	4	1	0
คมบาง	5	5	4	1	0
คมสัน	5	5	4	1	0
ครรภ-	5	5	4	0	0
ครรภ์	5	5	4	0	0
ครรไล	5	5	4	1	0
ครวัก	5	5	4	1	0
คร่อม	5	5	4	0	1
คระวี	5	5	3	2	0
คระหน	5	5	4	1	0
คระไล	5	5	3	2	0
ครั่ง	5	5	3	1	1
คร้าน	5	5	3	1	1
ครึ่ง	5	5	3	1	1
ครึ่ด	5	5	3	1	1
ครุก-	5	5	3	1	0
ครุ่น	5	5	3	1	1
ครูบา	5	5	3	2	0
คฤธระ	5	5	4	1	0
คฤนถ์	5	5	4	0	0
คฤโฆษ	5	5	4	1	0
คล้อย	5	5	4	0	1
คละปน	5	5	4	1	0
คล่าว	5	5	3	1	1
คลื่น	5	5	3	1	1
คลุ้ง	5	5	3	1	1
คว้าง	5	5	3	1	1
คว่าว	5	5	3	1	1
คหบดี	5	5	4	1	0
คอกลม	5	5	5	0	0
คอขวด	5	5	5	0	0
คอคอด	5	5	5	0	0
คอซอง	5	5	5	0	0
คอต่อ	5	5	4	0	1
คอตีบ	5	5	4	1	0
คอนาค	5	5	4	1	0
คอบัว	5	5	4	1	0
คอปาด	5	5	4	1	0
คอพอก	5	5	5	0	0
คอพับ	5	5	4	1	0
คอม้า	5	5	3	1	1
คอยที	5	5	4	1	0
คอยล์	5	5	4	0	0
คอรวง	5	5	5	0	0
คอร์ด	5	5	4	0	0
คอสอง	5	5	5	0	0
คอสูง	5	5	4	1	0
คอหอย	5	5	5	0	0
คอแดง	5	5	4	1	0
คอแบะ	5	5	3	2	0
คอแลน	5	5	4	1	0
คะคาน	5	5	3	2	0
คะคึง	5	5	3	2	0
คะนอง	5	5	4	1	0
คะน้า	5	5	2	2	1
คะนึง	5	5	3	2	0
คะมึก	5	5	3	2	0
คะเยอ	5	5	3	2	0
คะแนน	5	5	3	2	0
คัคน-	5	5	3	1	0
คัคนะ	5	5	3	2	0
คัจฉะ	5	5	3	2	0
คันขา	5	5	3	2	0
คันถ-	5	5	3	1	0
คันธ-	5	5	3	1	0
คันธะ	5	5	3	2	0
คันธ์	5	5	3	1	0
คันนา	5	5	3	2	0
คันไถ	5	5	3	2	0
คันไฟ	5	5	3	2	0
คับคา	5	5	3	2	0
คับแค	5	5	3	2	0
คับใจ	5	5	3	2	0
คัพภ-	5	5	3	1	0
คัพภ์	5	5	3	1	0
คัสซี	5	5	3	2	0
คางคก	5	5	4	1	0
คานขา	5	5	3	2	0
คาน้า	5	5	2	2	1
คามณี	5	5	3	2	0
คายก-	5	5	3	1	0
คายัน	5	5	3	2	0
คารวะ	5	5	3	2	0
คาวุต	5	5	3	2	0
ค่าหด	5	5	3	1	1
คำขาด	5	5	3	2	0
ค้ำคอ	5	5	3	1	1
ค้ำชู	5	5	2	2	1
คำตาย	5	5	3	2	0
คำทาย	5	5	3	2	0
คำนวณ	5	5	4	1	0
คำนวร	5	5	4	1	0
คำนับ	5	5	3	2	0
คำนัล	5	5	3	2	0
คำนึง	5	5	3	2	0
คำนูณ	5	5	3	2	0
คำผวน	5	5	4	1	0
คำฝอย	5	5	4	1	0
คำมูล	5	5	3	2	0
คำราม	5	5	3	2	0
คำแสด	5	5	3	2	0
คำแหง	5	5	3	2	0
คำโบล	5	5	3	2	0
คำโอง	5	5	3	2	0
คำใต้	5	5	2	2	1
คิก ๆ	5	4	2	2	0
คิดคด	5	5	4	1	0
คิดตก	5	5	4	1	0
คิดไว	5	5	3	2	0
คิมหะ	5	5	3	2	0
คีตกะ	5	5	3	2	0
คืนคำ	5	5	3	2	0
คืนดี	5	5	3	2	0
คุณบท	5	5	4	1	0
คุตติ	5	5	3	2	0
คุปติ	5	5	3	2	0
คุปต์	5	5	3	1	0
คุยห-	5	5	3	1	0
คุยโต	5	5	3	2	0
คู่ขา	5	5	2	2	1
คูปอง	5	5	4	1	0
คู่หู	5	5	2	2	1
คู่โค	5	5	2	2	1
คู่ใจ	5	5	2	2	1
คเนจร	5	5	4	1	0
เคจฉะ	5	5	3	2	0
เคณฑะ	5	5	3	2	0
เคยยะ	5	5	3	2	0
เครือ	5	5	3	2	0
เคล้ง	5	5	3	1	1
เคล็ด	5	5	3	2	0
เคล้น	5	5	3	1	1
เคล้า	5	5	2	2	1
เคลีย	5	5	3	2	0
เคว้ง	5	5	3	1	1
เคารพ	5	5	3	2	0
เคี้ย	5	5	2	2	1
เคียง	5	5	3	2	0
เคียด	5	5	3	2	0
เคียน	5	5	3	2	0
เคียม	5	5	3	2	0
เคียร	5	5	3	2	0
เคียว	5	5	3	2	0
เคื้อ	5	5	2	2	1
เคือง	5	5	3	2	0
แคฝอย	5	5	4	1	0
แคล้ว	5	5	3	1	1
แคว้ง	5	5	3	1	1
แคว้น	5	5	3	1	1
แคแกล	5	5	3	2	0
แคแตร	5	5	3	2	0
แคแสด	5	5	3	2	0
แคโทด	5	5	3	2	0
โคจร-	5	5	3	1	0
โคตร-	5	5	3	1	0
โคบาล	5	5	3	2	0
โคมัย	5	5	3	2	0
โคม่า	5	5	2	2	1
โคราช	5	5	3	2	0
โควตา	5	5	3	2	0
โคเคน	5	5	3	2	0
โคโรค	5	5	3	2	0
โคไพร	5	5	3	2	0
ใคร ๆ	5	4	2	2	0
ฆาตกร	5	5	4	1	0
โฆษณา	5	5	3	2	0
โฆษิต	5	5	3	2	0
งงงวย	5	5	5	0	0
งงงัน	5	5	4	1	0
งดงาม	5	5	4	1	0
งบดุล	5	5	4	1	0
งมงาย	5	5	4	1	0
งวยงง	5	5	5	0	0
งอก่อ	5	5	4	0	1
งอนไถ	5	5	4	1	0
งอหาย	5	5	4	1	0
งัก ๆ	5	4	2	2	0
งัง ๆ	5	4	2	2	0
งันงก	5	5	4	1	0
งับแง	5	5	3	2	0
งาตัด	5	5	3	2	0
งาบ ๆ	5	4	2	2	0
งาสาน	5	5	3	2	0
งาเกก	5	5	3	2	0
งาแซง	5	5	3	2	0
ง่ำ ๆ	5	4	1	2	1
งึก ๆ	5	4	2	2	0
งึมงำ	5	5	3	2	0
งุด ๆ	5	4	2	2	0
งุนงง	5	5	4	1	0
งุบ ๆ	5	4	2	2	0
งูผู้	5	5	2	2	1
เงา ๆ	5	4	1	3	0
เงี่ย	5	5	2	2	1
เงียน	5	5	3	2	0
เงียบ	5	5	3	2	0
เงื้อ	5	5	2	2	1
เงือก	5	5	3	2	0
เงือด	5	5	3	2	0
เงือน	5	5	3	2	0
เงือบ	5	5	3	2	0
จงกรม	5	5	5	0	0
จงรัก	5	5	4	1	0
จงอาง	5	5	4	1	0
จดจ่อ	5	5	4	0	1
จดุร-	5	5	3	1	0
จดูร-	5	5	3	1	0
จตุบท	5	5	4	1	0
จตุร-	5	5	3	1	0
จนถึง	5	5	4	1	0
จนได้	5	5	3	1	1
จบเห่	5	5	3	1	1
จมื่น	5	5	3	1	1
จยุติ	5	5	3	2	0
จรจัด	5	5	4	1	0
จรบัน	5	5	4	1	0
จรบาท	5	5	4	1	0
จรมัน	5	5	4	1	0
จรมูก	5	5	4	1	0
จรรจา	5	5	4	1	0
จรรม-	5	5	4	0	0
จรรยา	5	5	4	1	0
จรลวง	5	5	5	0	0
จรลาด	5	5	4	1	0
จรลาย	5	5	4	1	0
จรล่ำ	5	5	3	1	1
จรลู่	5	5	3	1	1
จรวัก	5	5	4	1	0
จระทก	5	5	4	1	0
จระนำ	5	5	3	2	0
จระบี	5	5	3	2	0
จราจร	5	5	4	1	0
จริม-	5	5	3	1	0
จริย-	5	5	3	1	0
จริยา	5	5	3	2	0
จลาจล	5	5	4	1	0
จวนแจ	5	5	4	1	0
จองคช	5	5	5	0	0
จองจำ	5	5	4	1	0
จอนหู	5	5	4	1	0
จอมพล	5	5	5	0	0
จอมใจ	5	5	4	1	0
จะกละ	5	5	3	2	0
จะกวด	5	5	4	1	0
จะกูด	5	5	3	2	0
จะขาบ	5	5	3	2	0
จะงอย	5	5	4	1	0
จะจ้า	5	5	2	2	1
จะบัน	5	5	3	2	0
จะลุง	5	5	3	2	0
จะเข้	5	5	2	2	1
จะแคง	5	5	3	2	0
จะไจ้	5	5	2	2	1
จักขุ	5	5	3	2	0
จักร-	5	5	3	1	0
จักรี	5	5	3	2	0
จักษุ	5	5	3	2	0
จังกา	5	5	3	2	0
จังเก	5	5	3	2	0
จังไร	5	5	3	2	0
จัญไร	5	5	3	2	0
จัณฑ-	5	5	3	1	0
จัณฑ์	5	5	3	1	0
จัดหา	5	5	3	2	0
จัตวา	5	5	3	2	0
จันท์	5	5	3	1	0
จับจด	5	5	4	1	0
จับตา	5	5	3	2	0
จับใจ	5	5	3	2	0
จัมบก	5	5	4	1	0
จัมปา	5	5	3	2	0
จัมมะ	5	5	3	2	0
จั๊วะ	5	5	2	2	1
จาตุ-	5	5	2	2	0
จานผี	5	5	3	2	0
จาบคา	5	5	3	2	0
จาบฝน	5	5	4	1	0
จาบัล	5	5	3	2	0
จามรี	5	5	3	2	0
จ่ารง	5	5	3	1	1
จาริก	5	5	3	2	0
จารีต	5	5	3	2	0
จารึก	5	5	3	2	0
จาว ๆ	5	4	2	2	0
จำกัด	5	5	3	2	0
จำครบ	5	5	4	1	0
จำคุก	5	5	3	2	0
จำงาย	5	5	3	2	0
จำจอง	5	5	4	1	0
จำทวย	5	5	4	1	0
จำทับ	5	5	3	2	0
จำทาบ	5	5	3	2	0
จำนวน	5	5	4	1	0
จำนอง	5	5	4	1	0
จำนับ	5	5	3	2	0
จำนัล	5	5	3	2	0
จำบ่ม	5	5	3	1	1
จำบัง	5	5	3	2	0
จำบับ	5	5	3	2	0
จำปูน	5	5	3	2	0
จำพวก	5	5	4	1	0
จำรัส	5	5	3	2	0
จำราญ	5	5	3	2	0
จำราย	5	5	3	2	0
จำรูญ	5	5	3	2	0
จำลอง	5	5	4	1	0
จำลาย	5	5	3	2	0
จำวัด	5	5	3	2	0
จำศีล	5	5	3	2	0
จำหระ	5	5	3	2	0
จำหลอ	5	5	4	1	0
จำหัน	5	5	3	2	0
จำหาย	5	5	3	2	0
จำหุด	5	5	3	2	0
จำอวด	5	5	4	1	0
จำเบศ	5	5	3	2	0
จำเลย	5	5	3	2	0
จำแทง	5	5	3	2	0
จำแนก	5	5	3	2	0
จำแลง	5	5	3	2	0
จิตต-	5	5	3	1	0
จิตต์	5	5	3	1	0
จิตร-	5	5	3	1	0
จิตระ	5	5	3	2	0
จิตรา	5	5	3	2	0
จิตใจ	5	5	3	2	0
จินดา	5	5	3	2	0
จินต-	5	5	3	1	0
จินต์	5	5	3	1	0
จีนแส	5	5	3	2	0
จีรัง	5	5	3	2	0
จีวร-	5	5	3	1	0
จืดตา	5	5	3	2	0
จุกชี	5	5	3	2	0
จุกยา	5	5	3	2	0
จุดจบ	5	5	4	1	0
จุทสะ	5	5	3	2	0
จุนสี	5	5	3	2	0
จุปาก	5	5	3	2	0
จุมพฏ	5	5	4	1	0
จุมพล	5	5	4	1	0
จุลพน	5	5	4	1	0
จู่ ๆ	5	4	1	2	1
จูงใจ	5	5	3	2	0
จแจ้น	5	5	3	1	1
เจตนา	5	5	3	2	0
เจนจบ	5	5	4	1	0
เจนใจ	5	5	3	2	0
เจรจา	5	5	3	2	0
เจริญ	5	5	3	2	0
เจริด	5	5	3	2	0
เจว็ด	5	5	3	2	0
เจษฎา	5	5	3	2	0
เจิ่ง	5	5	2	2	1
เจิ่น	5	5	2	2	1
เจียง	5	5	3	2	0
เจียด	5	5	3	2	0
เจียน	5	5	3	2	0
เจียม	5	5	3	2	0
เจียร	5	5	3	2	0
เจียว	5	5	3	2	0
แจกัน	5	5	3	2	0
แจจัน	5	5	3	2	0
โจทก์	5	5	3	1	0
โจทนา	5	5	3	2	0
โจทย์	5	5	3	1	0
โจมตี	5	5	3	2	0
โจษจน	5	5	4	1	0
โจษแจ	5	5	3	2	0
ใจขาด	5	5	3	2	0
ใจจืด	5	5	3	2	0
ใจต่ำ	5	5	2	2	1
ใจถึง	5	5	3	2	0
ใจบาน	5	5	3	2	0
ใจบาป	5	5	3	2	0
ใจบุญ	5	5	3	2	0
ใจป้ำ	5	5	2	2	1
ใจฝ่อ	5	5	3	1	1
ใจพระ	5	5	3	2	0
ใจมาร	5	5	3	2	0
ใจมือ	5	5	3	2	0
ใจลอย	5	5	4	1	0
ใจสูง	5	5	3	2	0
ใจหาย	5	5	3	2	0
ใจหิน	5	5	3	2	0
ใจเบา	5	5	2	3	0
ใจแคบ	5	5	3	2	0
ใจแตก	5	5	3	2	0
ไจ้ ๆ	5	4	1	2	1
ฉกฉวย	5	5	5	0	0
ฉกชิง	5	5	4	1	0
ฉทวาร	5	5	4	1	0
ฉม่อง	5	5	4	0	1
ฉ้อฉล	5	5	4	0	1
ฉอด ๆ	5	4	3	1	0
ฉะฉาด	5	5	3	2	0
ฉะฉาน	5	5	3	2	0
ฉะฉ่ำ	5	5	2	2	1
ฉะฉี่	5	5	2	2	1
ฉะต้า	5	5	2	2	1
ฉะนี้	5	5	2	2	1
ฉักกะ	5	5	3	2	0
ฉัตร-	5	5	3	1	0
ฉันท-	5	5	3	1	0
ฉันทะ	5	5	3	2	0
ฉันทา	5	5	3	2	0
ฉันท์	5	5	3	1	0
ฉันใด	5	5	3	2	0
ฉับ ๆ	5	4	2	2	0
ฉับไว	5	5	3	2	0
ฉัยยา	5	5	3	2	0
ฉาทนะ	5	5	3	2	0
ฉำเฉง	5	5	3	2	0
ฉำแฉะ	5	5	2	3	0
ฉินท-	5	5	3	1	0
ฉินท์	5	5	3	1	0
ฉีกคำ	5	5	3	2	0
ฉีดยา	5	5	3	2	0
ฉุกใจ	5	5	3	2	0
เฉพาะ	5	5	2	3	0
เฉย ๆ	5	4	2	2	0
เฉลิม	5	5	3	2	0
เฉียง	5	5	3	2	0
เฉียด	5	5	3	2	0
เฉียบ	5	5	3	2	0
เฉียว	5	5	3	2	0
เฉือน	5	5	3	2	0
แฉก ๆ	5	4	2	2	0
แฉล้ม	5	5	3	1	1
แฉโพย	5	5	3	2	0
โฉมยง	5	5	4	1	0
โฉเบ๊	5	5	2	2	1
ชกมวย	5	5	5	0	0
ชงโลง	5	5	4	1	0
ชดเชย	5	5	4	1	0
ชดใช้	5	5	3	1	1
ชนหิน	5	5	4	1	0
ชปโยค	5	5	4	1	0
ชมชัว	5	5	4	1	0
ชมชาญ	5	5	4	1	0
ชมนาด	5	5	4	1	0
ชม้อย	5	5	4	0	1
ชม้าย	5	5	3	1	1
ชมเชย	5	5	4	1	0
ชรทึง	5	5	4	1	0
ชรราง	5	5	4	1	0
ชรริน	5	5	4	1	0
ชรลอง	5	5	5	0	0
ชรออบ	5	5	5	0	0
ชรอัด	5	5	4	1	0
ชรอ่ำ	5	5	3	1	1
ชระงม	5	5	4	1	0
ชระงำ	5	5	3	2	0
ชระมด	5	5	4	1	0
ชระลอ	5	5	4	1	0
ชระลุ	5	5	3	2	0
ชรายุ	5	5	3	2	0
ชรเอม	5	5	4	1	0
ชรแรง	5	5	4	1	0
ชรแลง	5	5	4	1	0
ชรโมล	5	5	4	1	0
ชรโลง	5	5	4	1	0
ชลธาร	5	5	4	1	0
ชลธิศ	5	5	4	1	0
ชลาพุ	5	5	3	2	0
ชลีกร	5	5	4	1	0
ชลูกา	5	5	3	2	0
ชวนชม	5	5	5	0	0
ชวลิต	5	5	4	1	0
ชวาลา	5	5	3	2	0
ชอนตา	5	5	4	1	0
ชอนไช	5	5	4	1	0
ชอบกล	5	5	5	0	0
ชอบพอ	5	5	5	0	0
ชอบใจ	5	5	4	1	0
ชอล์ก	5	5	4	0	0
ชอื้อ	5	5	3	1	1
ชอุ่ม	5	5	3	1	1
ชะงอก	5	5	4	1	0
ชะงัก	5	5	3	2	0
ชะงัด	5	5	3	2	0
ชะงาบ	5	5	3	2	0
ชะง้ำ	5	5	2	2	1
ชะช้า	5	5	2	2	1
ชะชิด	5	5	3	2	0
ชะนุง	5	5	3	2	0
ชะพลู	5	5	3	2	0
ชะมวง	5	5	4	1	0
ชะมัง	5	5	3	2	0
ชะมัด	5	5	3	2	0
ชะรอย	5	5	4	1	0
ชะลอม	5	5	4	1	0
ชะล่า	5	5	2	2	1
ชะลาน	5	5	3	2	0
ชะลิน	5	5	3	2	0
ชะลูด	5	5	3	2	0
ชะวัง	5	5	3	2	0
ชะวาก	5	5	3	2	0
ชะวาด	5	5	3	2	0
ชะเลง	5	5	3	2	0
ชะเลย	5	5	3	2	0
ชะเอม	5	5	3	2	0
ชะแง้	5	5	2	2	1
ชะแม่	5	5	2	2	1
ชะแลง	5	5	3	2	0
ชะแวง	5	5	3	2	0
ชะโงก	5	5	3	2	0
ชะโอน	5	5	3	2	0
ชักนำ	5	5	3	2	0
ชักศพ	5	5	4	1	0
ชักใย	5	5	3	2	0
ชังคา	5	5	3	2	0
ชังฆ-	5	5	3	1	0
ชันคอ	5	5	4	1	0
ชันชี	5	5	3	2	0
ชันตุ	5	5	3	2	0
ชันนุ	5	5	3	2	0
ชันษา	5	5	3	2	0
ชันสน	5	5	4	1	0
ชัปนะ	5	5	3	2	0
ชัวชม	5	5	4	1	0
ชาคระ	5	5	3	2	0
ชาตรี	5	5	3	2	0
ชาติ-	5	5	2	2	0
ชายคา	5	5	3	2	0
ชายตา	5	5	3	2	0
ชายธง	5	5	4	1	0
